"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes",,,,,,
Variável - Rendimento médio da produção,,,,,,
Nível,Cód.,Município,Ano x Produto das lavouras permanentes,,,
Nível,Cód.,Município,2024,,,
Nível,Cód.,Município,Total,,Açaí,
MU,1100015,Alta Floresta D'Oeste (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1100023,Ariquemes (RO),..,Quilogramas por Hectare,9167,Quilogramas por Hectare
MU,1100031,Cabixi (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100049,Cacoal (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100056,Cerejeiras (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100064,Colorado do Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100072,Corumbiara (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100080,Costa Marques (RO),..,Quilogramas por Hectare,6800,Quilogramas por Hectare
MU,1100098,Espigão D'Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100106,Guajará-Mirim (RO),..,Quilogramas por Hectare,3833,Quilogramas por Hectare
MU,1100114,Jaru (RO),..,Quilogramas por Hectare,7500,Quilogramas por Hectare
MU,1100122,Ji-Paraná (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100130,Machadinho D'Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100148,Nova Brasilândia D'Oeste (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1100155,Ouro Preto do Oeste (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100189,Pimenta Bueno (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100205,Porto Velho (RO),..,Quilogramas por Hectare,8240,Quilogramas por Hectare
MU,1100254,Presidente Médici (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100262,Rio Crespo (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100288,Rolim de Moura (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1100296,Santa Luzia D'Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100304,Vilhena (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100320,São Miguel do Guaporé (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100338,Nova Mamoré (RO),..,Quilogramas por Hectare,7667,Quilogramas por Hectare
MU,1100346,Alvorada D'Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100379,Alto Alegre dos Parecis (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100403,Alto Paraíso (RO),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1100452,Buritis (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1100502,Novo Horizonte do Oeste (RO),..,Quilogramas por Hectare,9000,Quilogramas por Hectare
MU,1100601,Cacaulândia (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100700,Campo Novo de Rondônia (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1100809,Candeias do Jamari (RO),..,Quilogramas por Hectare,7657,Quilogramas por Hectare
MU,1100908,Castanheiras (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100924,Chupinguaia (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1100940,Cujubim (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1101005,Governador Jorge Teixeira (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101104,Itapuã do Oeste (RO),..,Quilogramas por Hectare,7700,Quilogramas por Hectare
MU,1101203,Ministro Andreazza (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101302,Mirante da Serra (RO),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1101401,Monte Negro (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101435,Nova União (RO),..,Quilogramas por Hectare,5600,Quilogramas por Hectare
MU,1101450,Parecis (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101468,Pimenteiras do Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101476,Primavera de Rondônia (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1101484,São Felipe D'Oeste (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101492,São Francisco do Guaporé (RO),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1101500,Seringueiras (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101559,Teixeirópolis (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101609,Theobroma (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101708,Urupá (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101757,Vale do Anari (RO),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1101807,Vale do Paraíso (RO),..,Quilogramas por Hectare,7000,Quilogramas por Hectare
MU,1200013,Acrelândia (AC),..,Quilogramas por Hectare,3059,Quilogramas por Hectare
MU,1200054,Assis Brasil (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200104,Brasiléia (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200138,Bujari (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200179,Capixaba (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200203,Cruzeiro do Sul (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200252,Epitaciolândia (AC),..,Quilogramas por Hectare,1308,Quilogramas por Hectare
MU,1200302,Feijó (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200328,Jordão (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200336,Mâncio Lima (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200344,Manoel Urbano (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200351,Marechal Thaumaturgo (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200385,Plácido de Castro (AC),..,Quilogramas por Hectare,2000,Quilogramas por Hectare
MU,1200393,Porto Walter (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200401,Rio Branco (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200427,Rodrigues Alves (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200435,Santa Rosa do Purus (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200450,Senador Guiomard (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200500,Sena Madureira (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200609,Tarauacá (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200708,Xapuri (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1200807,Porto Acre (AC),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1300029,Alvarães (AM),..,Quilogramas por Hectare,13000,Quilogramas por Hectare
MU,1300060,Amaturá (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1300086,Anamã (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1300102,Anori (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1300144,Apuí (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1300201,Atalaia do Norte (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1300300,Autazes (AM),..,Quilogramas por Hectare,11200,Quilogramas por Hectare
MU,1300409,Barcelos (AM),..,Quilogramas por Hectare,10514,Quilogramas por Hectare
MU,1300508,Barreirinha (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1300607,Benjamin Constant (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1300631,Beruri (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1300680,Boa Vista do Ramos (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1300706,Boca do Acre (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1300805,Borba (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1300839,Caapiranga (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1300904,Canutama (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1301001,Carauari (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301100,Careiro (AM),..,Quilogramas por Hectare,10400,Quilogramas por Hectare
MU,1301159,Careiro da Várzea (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1301209,Coari (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301308,Codajás (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301407,Eirunepé (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301506,Envira (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1301605,Fonte Boa (AM),..,Quilogramas por Hectare,7600,Quilogramas por Hectare
MU,1301654,Guajará (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1301704,Humaitá (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1301803,Ipixuna (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301852,Iranduba (AM),..,Quilogramas por Hectare,10400,Quilogramas por Hectare
MU,1301902,Itacoatiara (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1301951,Itamarati (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1302009,Itapiranga (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1302108,Japurá (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1302207,Juruá (AM),..,Quilogramas por Hectare,14211,Quilogramas por Hectare
MU,1302306,Jutaí (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1302405,Lábrea (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1302504,Manacapuru (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1302553,Manaquiri (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1302603,Manaus (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1302702,Manicoré (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1302801,Maraã (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1302900,Maués (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1303007,Nhamundá (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1303106,Nova Olinda do Norte (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1303205,Novo Airão (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1303304,Novo Aripuanã (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1303403,Parintins (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1303502,Pauini (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1303536,Presidente Figueiredo (AM),..,Quilogramas por Hectare,9000,Quilogramas por Hectare
MU,1303569,Rio Preto da Eva (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1303601,Santa Isabel do Rio Negro (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1303700,Santo Antônio do Içá (AM),..,Quilogramas por Hectare,13514,Quilogramas por Hectare
MU,1303809,São Gabriel da Cachoeira (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1303908,São Paulo de Olivença (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1303957,São Sebastião do Uatumã (AM),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1304005,Silves (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1304062,Tabatinga (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1304104,Tapauá (AM),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1304203,Tefé (AM),..,Quilogramas por Hectare,13000,Quilogramas por Hectare
MU,1304237,Tonantins (AM),..,Quilogramas por Hectare,11000,Quilogramas por Hectare
MU,1304260,Uarini (AM),..,Quilogramas por Hectare,13000,Quilogramas por Hectare
MU,1304302,Urucará (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1304401,Urucurituba (AM),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1400027,Amajari (RR),..,Quilogramas por Hectare,7538,Quilogramas por Hectare
MU,1400050,Alto Alegre (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400100,Boa Vista (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400159,Bonfim (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400175,Cantá (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400209,Caracaraí (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400233,Caroebe (RR),..,Quilogramas por Hectare,7500,Quilogramas por Hectare
MU,1400282,Iracema (RR),..,Quilogramas por Hectare,4000,Quilogramas por Hectare
MU,1400308,Mucajaí (RR),..,Quilogramas por Hectare,6700,Quilogramas por Hectare
MU,1400407,Normandia (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1400456,Pacaraima (RR),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1400472,Rorainópolis (RR),..,Quilogramas por Hectare,5500,Quilogramas por Hectare
MU,1400506,São João da Baliza (RR),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1400605,São Luiz do Anauá (RR),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1400704,Uiramutã (RR),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1500107,Abaetetuba (PA),..,Quilogramas por Hectare,5600,Quilogramas por Hectare
MU,1500131,Abel Figueiredo (PA),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1500206,Acará (PA),..,Quilogramas por Hectare,12000,Quilogramas por Hectare
MU,1500305,Afuá (PA),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1500347,Água Azul do Norte (PA),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1500404,Alenquer (PA),..,Quilogramas por Hectare,4961,Quilogramas por Hectare
MU,1500503,Almeirim (PA),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1500602,Altamira (PA),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1500701,Anajás (PA),..,Quilogramas por Hectare,10000,Quilogramas por Hectare
MU,1500800,Ananindeua (PA),..,Quilogramas por Hectare,4185,Quilogramas por Hectare
MU,1500859,Anapu (PA),..,Quilogramas por Hectare,6271,Quilogramas por Hectare
MU,1500909,Augusto Corrêa (PA),..,Quilogramas por Hectare,6444,Quilogramas por Hectare
MU,1500958,Aurora do Pará (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501006,Aveiro (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501105,Bagre (PA),..,Quilogramas por Hectare,8800,Quilogramas por Hectare
MU,1501204,Baião (PA),..,Quilogramas por Hectare,5750,Quilogramas por Hectare
MU,1501253,Bannach (PA),..,Quilogramas por Hectare,-,Quilogramas por Hectare
MU,1501303,Barcarena (PA),..,Quilogramas por Hectare,7000,Quilogramas por Hectare
MU,1501402,Belém (PA),..,Quilogramas por Hectare,4000,Quilogramas por Hectare
MU,1501451,Belterra (PA),..,Quilogramas por Hectare,5600,Quilogramas por Hectare
MU,1501501,Benevides (PA),..,Quilogramas por Hectare,3125,Quilogramas por Hectare
MU,1501576,Bom Jesus do Tocantins (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501600,Bonito (PA),..,Quilogramas por Hectare,11700,Quilogramas por Hectare
MU,1501709,Bragança (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501725,Brasil Novo (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501758,Brejo Grande do Araguaia (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1501782,Breu Branco (PA),..,Quilogramas por Hectare,10083,Quilogramas por Hectare
MU,1501808,Breves (PA),..,Quilogramas por Hectare,7715,Quilogramas por Hectare
MU,1501907,Bujaru (PA),..,Quilogramas por Hectare,11379,Quilogramas por Hectare
MU,1501956,Cachoeira do Piriá (PA),..,Quilogramas por Hectare,4500,Quilogramas por Hectare
MU,1502004,Cachoeira do Arari (PA),..,Quilogramas por Hectare,3423,Quilogramas por Hectare
MU,1502103,Cametá (PA),..,Quilogramas por Hectare,5261,Quilogramas por Hectare
MU,1502152,Canaã dos Carajás (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
MU,1502202,Capanema (PA),..,Quilogramas por Hectare,3000,Quilogramas por Hectare
MU,1502301,Capitão Poço (PA),..,Quilogramas por Hectare,11803,Quilogramas por Hectare
MU,1502400,Castanhal (PA),..,Quilogramas por Hectare,8000,Quilogramas por Hectare
MU,1502509,Chaves (PA),..,Quilogramas por Hectare,...,Quilogramas por Hectare
MU,1502608,Colares (PA),..,Quilogramas por Hectare,6000,Quilogramas por Hectare
